track_genre_clean,danceability,energy,acousticness,valence,instrumentalness,liveness,speechiness
acoustic,0.5496002120890774,0.4370560975609756,0.5660774107423118,0.42347613997879113,0.04026895695652174,0.15446426299045599,0.04342110286320255
afrobeat,0.6695163599182005,0.7036472392638037,0.26801539089979554,0.6972537832310839,0.2538464900408998,0.182020245398773,0.08702310838445808
alt-rock,0.5393268206039077,0.7431616341030195,0.1250634963587922,0.5124552397868561,0.04983680262877442,0.22624618117229128,0.05388916518650089
alternative,0.5596312849162012,0.7249245810055867,0.1281271445530726,0.4661131284916201,0.034198962625698326,0.20718240223463688,0.060927094972067046
ambient,0.3675384955752212,0.24375594026548672,0.7717215048672567,0.16948329646017699,0.6605281571902655,0.12783130530973452,0.04176128318584071
anime,0.5375768996960486,0.6734359675785208,0.26847867349544075,0.43260192502532924,0.26445784946301926,0.1972047619047619,0.08775937183383992
black-metal,0.2960591959798995,0.874880703517588,0.026874683648241204,0.19125989949748742,0.44116753854271357,0.2420827135678392,0.08717778894472362
bluegrass,0.5351676767676768,0.5327824242424243,0.5546866222222222,0.6382209090909091,0.13818593675757576,0.22866040404040403,0.038581919191919195
blues,0.5665636363636364,0.6052869421487603,0.29212523305785126,0.5565922314049586,0.04523146371900827,0.18601917355371902,0.06227768595041322
brazil,0.5614854771784232,0.6205892116182573,0.33297463900414936,0.46629522821576763,0.008607282209543567,0.3026649377593361,0.09761410788381743
breakbeat,0.6464815573770492,0.8520737704918033,0.03141576165983607,0.47487889344262296,0.39628358032786887,0.21933852459016392,0.08521168032786886
british,0.49852207637231505,0.5151225536992841,0.41317128241050116,0.4389134844868735,0.19071546896181385,0.1771702863961814,0.04974081145584726
cantopop,0.5472026476578411,0.46146863543788186,0.5354523885947048,0.39441771894093686,0.012849996975560081,0.1927385947046843,0.039169551934826886
chicago-house,0.7632350597609562,0.7269701195219124,0.03462573685258964,0.5909153386454183,0.4531103644621514,0.14697330677290837,0.07200159362549802
children,0.7218200455580867,0.4710373348519362,0.5197849275626424,0.6892681093394077,0.06278456007972665,0.1795405466970387,0.090450569476082
chill,0.6635168776371309,0.42435537974683546,0.5358973151898734,0.40298364978902956,0.1821127115084388,0.1708911392405063,0.10314978902953587
classical,0.4347955801104973,0.28924356353591163,0.8679333121546962,0.4803544198895027,0.4595533002762431,0.1784635359116022,0.06032541436464089
club,0.603604120603015,0.7215626130653267,0.15986735144723618,0.3689224120603015,0.34718810754773866,0.19970924623115577,0.09458502512562814
comedy,0.577195,0.699934,0.726476182,0.4548455,0.00052477331,0.6616660000000001,0.7556253
country,0.5698561643835617,0.6019684931506849,0.3105254212328767,0.5265236301369863,0.008325625787671233,0.18160205479452055,0.046574315068493154
dance,0.6775714285714285,0.6852244897959183,0.16764885034013605,0.5318853741496599,0.007197479863945578,0.15735714285714286,0.08291394557823129
dancehall,0.7306204287515762,0.6843089533417402,0.22538247919293822,0.6283450189155108,0.0077295992181588905,0.1566672131147541,0.19573682219419924
death-metal,0.3688677254098361,0.931548155737705,0.006820128565573771,0.24628196721311474,0.2766334176741803,0.24476086065573768,0.11126967213114754
deep-house,0.7059271899886235,0.7359510807736063,0.10880380682593856,0.4403442548350398,0.22821008992036404,0.1686226393629124,0.05928873720136519
detroit-techno,0.7276115485564305,0.6884803149606299,0.08148761065616797,0.48369816272965876,0.6686624806299213,0.15405800524934385,0.06970446194225723
disco,0.6838085399449035,0.7313526170798897,0.15951915261707988,0.677575344352617,0.07395257632231406,0.18893264462809917,0.0601236914600551
disney,0.4632213065326633,0.3030919195979899,0.7417560448241205,0.3692065326633166,0.38275120576884425,0.16877165829145727,0.07480884422110552
drum-and-bass,0.5348963782696177,0.876764587525151,0.02568577018108652,0.3209416498993964,0.3728691091146881,0.2209324949698189,0.09189185110663985
dub,0.5791268656716418,0.7143752665245202,0.12331203219616205,0.39217665245202554,0.08193068059701493,0.187690618336887,0.09844307036247335
dubstep,0.5208906414300736,0.7583922187171398,0.11347765331230283,0.27489211356466875,0.09151482450052577,0.1980540483701367,0.09142765509989484
edm,0.6463265306122449,0.7344471243042672,0.13853523005565863,0.44636029684601114,0.04754112562152134,0.19692931354359927,0.07219962894248608
electro,0.6495009487666034,0.6455256166982922,0.24125934724857684,0.44764155597722965,0.046184182599620496,0.18280512333965845,0.07836546489563567
electronic,0.6540130151843818,0.6898517353579177,0.180710879175705,0.3918966377440347,0.24611670713665945,0.19233470715835144,0.08243893709327549
emo,0.603792735042735,0.6638204276709402,0.19921382720085468,0.4331057692307692,0.02999455790598291,0.18255128205128204,0.11200245726495726
folk,0.5641911573472042,0.5493404421326398,0.49676771521456436,0.4826820546163849,0.04429171944083225,0.1783920676202861,0.06356449934980493
forro,0.6497759999999999,0.789526,0.39757555,0.7606934,0.0012565736,0.2949711,0.05718910000000001
french,0.6539095555555555,0.6000141111111111,0.34615329154444446,0.4263092222222222,0.1491572269888889,0.17632655555555557,0.12655255555555556
funk,0.7234454976303317,0.6314170616113745,0.32133230489731435,0.606158925750395,0.004968675086887836,0.18440616113744077,0.20005086887835702
garage,0.4805218848167539,0.7464261780104712,0.16648903880628274,0.5191112041884817,0.1933784454659686,0.21012931937172774,0.06524931937172775
german,0.5193173354735152,0.5327148796147673,0.33751721407704655,0.3449182985553772,0.29246439390048157,0.20188860353130017,0.11386147672552166
gospel,0.4729003021148036,0.577045720040282,0.3765644944612286,0.31971923464249746,0.003329855498489426,0.29924370594159116,0.041108459214501514
goth,0.4801495901639344,0.7399281969262295,0.16515842214139342,0.44519385245901644,0.1206690655942623,0.23110051229508197,0.07330850409836065
grindcore,0.27150573440643866,0.923841046277666,0.008738958682092554,0.21655804828973843,0.5391302605734407,0.28034577464788735,0.1373611670020121
groove,0.575717067583047,0.7540478808705613,0.14456646578465063,0.41729198167239406,0.1390564958419244,0.23958064146620847,0.07090962199312714
grunge,0.45922033898305087,0.8037097457627118,0.051613931387711864,0.4021436440677966,0.036061983495762714,0.22178961864406782,0.06096271186440678
guitar,0.539712174817898,0.32466741508844954,0.7724854890738814,0.4374059313215401,0.5115938494172737,0.14943558792924036,0.05176264308012487
happy,0.5484185303514377,0.910888178913738,0.05818227603833866,0.33472673056443025,0.2548259495953141,0.28820979765708205,0.12109744408945687
hard-rock,0.482283042394015,0.7921932668329177,0.08970188046134663,0.5165901496259352,0.04820875812967581,0.22155386533665838,0.06718341645885287
hardcore,0.5292437641723357,0.851454648526077,0.05812738606575964,0.4896663265306122,0.07579217434240362,0.23652029478458048,0.14110034013605444
hardstyle,0.5376695938529089,0.9001931942919869,0.05286392502744237,0.32076750823271133,0.13031024301866082,0.25841020856201974,0.12270296377607025
heavy-metal,0.4284566132264529,0.8741863727454909,0.014982844699398798,0.38796873747494987,0.08272181541082164,0.27993136272545094,0.07463006012024048
hip-hop,0.7050628272251308,0.6940977312390926,0.24584741884816755,0.5498277486910995,0.01559524034904014,0.1924417102966841,0.1339500872600349
honky-tonk,0.5717269938650307,0.36674427402862986,0.714444899591002,0.6341472392638037,0.057400507852760733,0.18967535787321063,0.03723957055214724
house,0.6652678571428572,0.7343968253968255,0.12421567658730158,0.45836924603174606,0.046097773273809525,0.18878829365079364,0.06810079365079365
idm,0.5435235722964763,0.5678676063183474,0.35918761108140945,0.31813365735115434,0.6737368701944108,0.17159720534629405,0.07660352369380316
indian,0.5914989775051125,0.5669897750511247,0.4887751216768916,0.4653105316973415,0.035550504509202455,0.17327361963190185,0.0710439672801636
indie,0.6008960244648318,0.5230059633027523,0.42949540600917435,0.4346798165137615,0.06442156525993883,0.1660223241590214,0.06499510703363914
indie-pop,0.6013708513708513,0.5474393939393939,0.397354883015873,0.44368672438672435,0.05521401102453103,0.1659099567099567,0.06656147186147186
industrial,0.5325997807017544,0.8583610745614034,0.037840375844298245,0.42408629385964913,0.18844921797149125,0.23506184210526315,0.08756151315789473
iranian,0.21244117647058824,0.3359883823529412,0.5805048429411765,0.09089264705882352,0.8175376367647058,0.16956029411764706,0.06406764705882353
j-dance,0.680521243523316,0.7031912953367876,0.23028348041450777,0.5632315025906737,0.03176252458031088,0.18188756476683937,0.21900507772020725
j-idol,0.5490430861723448,0.868535370741483,0.15179208315631262,0.5778213426853708,0.037310191963927854,0.22954478957915833,0.06942715430861725
j-pop,0.561394640682095,0.7246881851400732,0.23102531378806332,0.5651778319123021,0.009797833617539586,0.20817015834348357,0.06138124238733252
j-rock,0.509312434691745,0.7591755485893417,0.16775829574712645,0.5382201671891327,0.023762250606060607,0.22388150470219437,0.06400240334378265
jazz,0.5496925925925926,0.4010494814814815,0.6468516925925926,0.45693370370370373,0.1429870091851852,0.1636074074074074,0.05313962962962963
k-pop,0.6398476890756303,0.6786081932773109,0.29939308193277314,0.5633857142857143,0.009870000409663866,0.1788077731092437,0.08415063025210084
kids,0.7785847222222222,0.6140004166666667,0.24339136972222222,0.67870625,0.019183879652777777,0.17589694444444443,0.14929861111111112
latin,0.7417064220183487,0.7363211009174312,0.14214137614678898,0.6133027522935779,0.013025985596330275,0.1658348623853211,0.09835963302752293
malay,0.6292093023255814,0.579776137512639,0.4034299261880687,0.5023689585439838,0.008947946137512638,0.17329393326592518,0.08123316481294238
mandopop,0.5470192502532928,0.4981640324214792,0.47950385572441745,0.34978956433637287,0.0034787071833839917,0.1596614994934144,0.0394161094224924
metal,0.46830156472261736,0.8273143669985775,0.039252121266002846,0.41628904694167856,0.05410136958748221,0.20270270270270271,0.06956102418207681
metalcore,0.4238655462184874,0.9139338235294117,0.010616518613445378,0.3147211134453782,0.04670466967436975,0.26046617647058823,0.1107127100840336
minimal-techno,0.7285226293103448,0.6742618534482759,0.07421826440732758,0.2798235991379311,0.745432604525862,0.13748211206896552,0.062019612068965516
mpb,0.5738435870698645,0.580146163295099,0.4195237424400417,0.5528340980187696,0.013547930375391032,0.3466169968717414,0.05685443169968717
new-age,0.3468327461139896,0.21365463212435232,0.8238628082901555,0.18071025906735752,0.7146977524248704,0.2032722279792746,0.045606943005181345
opera,0.31378340857787806,0.3191145598194131,0.7842003114334086,0.2132502257336343,0.15258075945823926,0.22352076749435665,0.047332957110609475
pagode,0.5709544041450777,0.7116518134715026,0.5532336787564767,0.6927544041450777,0.0005617610466321244,0.5331913989637306,0.062089326424870465
party,0.6702392807745505,0.861789764868603,0.09459168547717843,0.6762142461964039,0.002290950235131397,0.2778920470262794,0.0862539419087137
piano,0.456474145785877,0.298554708428246,0.7274901970387244,0.3036338268792711,0.5515939795444191,0.14499430523917997,0.047025512528473805
pop,0.6301389728096677,0.6113534743202417,0.3681701012084592,0.4981635951661631,0.004563567824773414,0.1555938066465257,0.07993474320241692
pop-film,0.5983455284552845,0.6055009146341463,0.43525672357723577,0.5275541666666667,0.008252113922764226,0.1640650406504065,0.0640285569105691
